STATION,NAME,DATE,DAPR,DASF,MDPR,MDSF,PRCP,SNOW,SNWD,TAVG,TMAX,TMIN,TOBS,WT01,WT02,WT03,WT04,WT05,WT06,WT08,WT09,WT10,WT11
USW00094728,"NY CITY CENTRAL PARK, NY US",2014-01-01,,,,,0,0,0,,33,24,,,,,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",2014-01-02,,,,,0.33,3.1,0,,33,18,,,,,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",2014-01-03,,,,,0.29,3.3,5.9,,18,9,,1,,,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",2014-01-04,,,,,0,0,5.9,,29,8,,,,,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",2014-01-05,,,,,0.14,0,3.9,,40,27,,,,,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",2014-01-06,,,,,0.36,0,1.2,,55,19,,,,,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",2014-01-07,,,,,0,0,0,,19,4,,,,,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",2014-01-08,,,,,0,0,0,,22,9,,,,,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",2014-01-09,,,,,0,0,0,,32,22,,,,,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",2014-01-10,,,,,0.11,0,0,,37,30,,,,,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",2014-01-11,,,,,0.5,0,0,,58,37,,1,,,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",2014-01-12,,,,,0.05,0,0,,54,38,,1,,,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",2014-01-13,,,,,0,0,0,,51,37,,,,,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",2014-01-14,,,,,0.38,0,0,,52,44,,1,,,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",2014-01-15,,,,,0,0,0,,47,39,,,,,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",2014-01-16,,,,,0,0,0,,42,36,,,,,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",2014-01-17,,,,,0,0,0,,44,33,,,,,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",2014-01-18,,,,,0.07,0,0,,41,29,,,,,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",2014-01-19,,,,,0,0,0,,38,24,,,,,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",2014-01-20,,,,,0,0,0,,46,31,,,,,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",2014-01-21,,,,,0.46,11,0,,31,11,,,,,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",2014-01-22,,,,,0.02,0.5,11,,17,5,,,,,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",2014-01-23,,,,,0,0,7.1,,20,7,,,,,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",2014-01-24,,,,,0,0,5.9,,20,10,,,,,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",2014-01-25,,,,,0.04,1,3.9,,28,19,,,,,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",2014-01-26,,,,,0,0,3.9,,34,17,,,,,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",2014-01-27,,,,,0,0,3.1,,44,21,,,,,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",2014-01-28,,,,,0,0,1.2,,21,12,,,,,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",2014-01-29,,,,,0.04,0.8,2,,23,14,,,,,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",2014-01-30,,,,,0,0,1,,30,16,,,,,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",2014-01-31,,,,,0,0,1.2,,39,25,,,,,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",2014-02-01,,,,,0,0,1.2,,45,36,,,,,,,,1,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",2014-02-02,,,,,0,0,1.2,,56,39,,,,,,,,1,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",2014-02-03,,,,,1.17,8,1.2,,43,27,,,,,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",2014-02-04,,,,,0,0,7.9,,35,22,,,,,,,,1,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",2014-02-05,,,,,1.43,4,9.1,,34,29,,,,,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",2014-02-06,,,,,0,0,9.1,,32,21,,,,,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",2014-02-07,,,,,0,0,9.1,,32,24,,,,,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",2014-02-08,,,,,0,0,9.1,,29,21,,,,,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",2014-02-09,,,,,0.1,1.2,7.9,,31,21,,,,,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",2014-02-10,,,,,0,0,9.8,,29,21,,,,,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",2014-02-11,,,,,0,0,9.8,,26,16,,,,,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",2014-02-12,,,,,0,0,9.8,,25,13,,,,,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",2014-02-13,,,,,1.78,9.5,11.8,,36,24,,,,,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",2014-02-14,,,,,0.3,3,18.1,,40,31,,,,,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",2014-02-15,,,,,0.13,1.6,18.1,,37,27,,,,,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",2014-02-16,,,,,0,0,18.1,,30,21,,,,,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",2014-02-17,,,,,0,0,16.9,,32,18,,,,,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",2014-02-18,,,,,0.16,1.5,18.1,,39,26,,,,,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",2014-02-19,,,,,0.26,0,16.9,,45,34,,,,,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",2014-02-20,,,,,0.03,0,15,,51,37,,,,,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",2014-02-21,,,,,0.09,0,13,,49,36,,,,,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",2014-02-22,,,,,0,0,9.8,,54,40,,,,,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",2014-02-23,,,,,0,0,9.1,,54,43,,,,,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",2014-02-24,,,,,0,0,5.9,,44,27,,,,,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",2014-02-25,,,,,0,0,5.9,,33,24,,,,,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",2014-02-26,,,,,0.03,0.2,5.9,,31,20,,,,,,,,1,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",2014-02-27,,,,,0,0,5.9,,34,14,,,,,,,,1,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",2014-02-28,,,,,0,0,5.9,,24,9,,,,,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",2014-03-01,,,,,0,0,5.9,,37,20,,,,,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",2014-03-02,,,,,0,0,5.1,,40,32,,,,,,,,1,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",2014-03-03,,,,,0.04,0.1,5.1,,32,17,,,,,,,,1,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",2014-03-04,,,,,0,0,5.1,,29,13,,,,,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",2014-03-05,,,,,0,0,3.9,,39,26,,,,,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",2014-03-06,,,,,0,0,3.9,,31,16,,,,,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",2014-03-07,,,,,0,0,3.9,,37,26,,,,,,,,1,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",2014-03-08,,,,,0,0,3.1,,57,35,,,,,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",2014-03-09,,,,,0,0,2,,44,36,,,,,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",2014-03-10,,,,,0,0,1.2,,51,36,,,,,,,,1,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",2014-03-11,,,,,0,0,0,,66,45,,,,,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",2014-03-12,,,,,0.35,0,0,,56,32,,,,,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",2014-03-13,,,,,0,0,0,,32,18,,,,,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",2014-03-14,,,,,0,0,0,,46,22,,,,,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",2014-03-15,,,,,0,0,0,,58,42,,,,,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",2014-03-16,,,,,0,0,0,,42,30,,,,,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",2014-03-17,,,,,0,0,0,,35,23,,,,,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",2014-03-18,,,,,0,0,0,,43,28,,,,,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",2014-03-19,,,,,0.92,0,0,,46,32,,,,,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",2014-03-20,,,,,0,0,0,,54,40,,,,,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",2014-03-21,,,,,0,0,0,,51,39,,,,,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",2014-03-22,,,,,0,0,0,,63,41,,,,,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",2014-03-23,,,,,0,0,0,,42,27,,,,,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",2014-03-24,,,,,0,0,0,,35,21,,,,,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",2014-03-25,,,,,0,0,0,,39,26,,,,,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",2014-03-26,,,,,0,0,0,,36,24,,,,,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",2014-03-27,,,,,0,0,0,,44,22,,,,,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",2014-03-28,,,,,0.04,0,0,,62,37,,,,,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",2014-03-29,,,,,1.81,0,0,,59,43,,1,,,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",2014-03-30,,,,,0.35,0,0,,49,39,,,,,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",2014-03-31,,,,,0.16,0,0,,56,36,,1,,,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",2014-04-01,,,,,0,0,0,,60,39,,,,,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",2014-04-02,,,,,0,0,0,,54,42,,,,,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",2014-04-03,,,,,0.07,0,0,,67,46,,,,,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",2014-04-04,,,,,0.21,0,0,,47,40,,,,,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",2014-04-05,,,,,0,0,0,,54,40,,1,,,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",2014-04-06,,,,,0,0,0,,61,36,,,,,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",2014-04-07,,,,,0.52,0,0,,53,43,,,,,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",2014-04-08,,,,,0.34,0,0,,64,46,,,,,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",2014-04-09,,,,,0,0,0,,61,45,,,,,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",2014-04-10,,,,,0,0,0,,58,42,,,,,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",2014-04-11,,,,,0,0,0,,75,56,,,,,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",2014-04-12,,,,,0,0,0,,73,50,,,,,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",2014-04-13,,,,,0,0,0,,77,54,,,,,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",2014-04-14,,,,,0,0,0,,75,59,,,,,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",2014-04-15,,,,,0.71,0,0,,63,33,,,,,,,,,,,
